date,competitor,country,data,days,price_usd,source_url
2026-08-09,Breeze,Uganda,1 GB,,7.49,https://breezesim.com/products/esimg_ug_v2
2026-08-09,Breeze,Uganda,Unlimited,1,11.99,https://breezesim.com/products/esimg_ug_v2
2026-08-09,Breeze,Uganda,2 GB,,12.99,https://breezesim.com/products/esimg_ug_v2
2026-08-09,Breeze,Uganda,3 GB,,17.99,https://breezesim.com/products/esimg_ug_v2
2026-08-09,Breeze,Uganda,Unlimited,3,31.99,https://breezesim.com/products/esimg_ug_v2
2026-08-09,Breeze,Uganda,5 GB,,28.99,https://breezesim.com/products/esimg_ug_v2
2026-08-09,Breeze,Uganda,Unlimited,5,51.99,https://breezesim.com/products/esimg_ug_v2
2026-08-09,Breeze,Uganda,Unlimited,7,71.99,https://breezesim.com/products/esimg_ug_v2
2026-08-09,Breeze,Uganda,10 GB,,51.99,https://breezesim.com/products/esimg_ug_v2
2026-08-09,Breeze,Uganda,Unlimited,10,101.99,https://breezesim.com/products/esimg_ug_v2
2026-08-09,Breeze,Uganda,Unlimited,15,142.99,https://breezesim.com/products/esimg_ug_v2
2026-08-09,Breeze,Uganda,20 GB,,92.99,https://breezesim.com/products/esimg_ug_v2
2026-08-09,Breeze,Middle East And North Africa,1 GB,,3.99,https://breezesim.com/products/esim-middle-east-and-north-africa
2026-08-09,Breeze,Middle East And North Africa,2 GB,,6.99,https://breezesim.com/products/esim-middle-east-and-north-africa
2026-08-09,Breeze,Middle East And North Africa,3 GB,,8.99,https://breezesim.com/products/esim-middle-east-and-north-africa
2026-08-09,Breeze,Middle East And North Africa,5 GB,,10.99,https://breezesim.com/products/esim-middle-east-and-north-africa
2026-08-09,Breeze,Middle East And North Africa,10 GB,,17.99,https://breezesim.com/products/esim-middle-east-and-north-africa
2026-08-09,Breeze,Middle East And North Africa,20 GB,,33.99,https://breezesim.com/products/esim-middle-east-and-north-africa
2026-08-09,Breeze,Middle East And North Africa,50 GB,,65.99,https://breezesim.com/products/esim-middle-east-and-north-africa
2026-08-09,Breeze,Middle East And North Africa,100 GB,,129.99,https://breezesim.com/products/esim-middle-east-and-north-africa
2026-08-09,Breeze,Middle East And North Africa,Unlimited,1,7.99,https://breezesim.com/products/esim-middle-east-and-north-africa
2026-08-09,Breeze,Middle East And North Africa,Unlimited,3,16.99,https://breezesim.com/products/esim-middle-east-and-north-africa
2026-08-09,Breeze,Middle East And North Africa,Unlimited,5,25.99,https://breezesim.com/products/esim-middle-east-and-north-africa
2026-08-09,Breeze,Middle East And North Africa,Unlimited,7,31.99,https://breezesim.com/products/esim-middle-east-and-north-africa
2026-08-09,Breeze,Middle East And North Africa,Unlimited,10,45.99,https://breezesim.com/products/esim-middle-east-and-north-africa
2026-08-09,Breeze,Middle East And North Africa,Unlimited,15,67.99,https://breezesim.com/products/esim-middle-east-and-north-africa
2026-08-09,Breeze,Middle East And North Africa,Unlimited,30,130.99,https://breezesim.com/products/esim-middle-east-and-north-africa
2026-08-09,Breeze,Europe Lite,1 GB,,3.99,https://breezesim.com/products/esim-europe-lite
2026-08-09,Breeze,Europe Lite,2 GB,,4.99,https://breezesim.com/products/esim-europe-lite
2026-08-09,Breeze,Europe Lite,3 GB,,5.99,https://breezesim.com/products/esim-europe-lite
2026-08-09,Breeze,Europe Lite,5 GB,,7.99,https://breezesim.com/products/esim-europe-lite
2026-08-09,Breeze,Europe Lite,10 GB,,12.99,https://breezesim.com/products/esim-europe-lite
2026-08-09,Breeze,Europe Lite,20 GB,,21.99,https://breezesim.com/products/esim-europe-lite
2026-08-09,Breeze,Europe Lite,50 GB,,34.99,https://breezesim.com/products/esim-europe-lite
2026-08-09,Breeze,Europe Lite,100 GB,,47.99,https://breezesim.com/products/esim-europe-lite
2026-08-09,Breeze,Europe Lite,Unlimited,1,3.99,https://breezesim.com/products/esim-europe-lite
2026-08-09,Breeze,Europe Lite,Unlimited,3,7.99,https://breezesim.com/products/esim-europe-lite
2026-08-09,Breeze,Europe Lite,Unlimited,5,13.99,https://breezesim.com/products/esim-europe-lite
2026-08-09,Breeze,Europe Lite,Unlimited,7,16.99,https://breezesim.com/products/esim-europe-lite
2026-08-09,Breeze,Europe Lite,Unlimited,10,20.99,https://breezesim.com/products/esim-europe-lite
2026-08-09,Breeze,Europe Lite,Unlimited,15,28.99,https://breezesim.com/products/esim-europe-lite
2026-08-09,Breeze,Europe Lite,Unlimited,30,47.99,https://breezesim.com/products/esim-europe-lite
2026-08-09,Breeze,Puerto Rico,1 GB,,22.99,https://breezesim.com/products/esim-puerto-rico
2026-08-09,Breeze,Puerto Rico,2 GB,,38.99,https://breezesim.com/products/esim-puerto-rico
2026-08-09,Breeze,Puerto Rico,3 GB,,48.99,https://breezesim.com/products/esim-puerto-rico
